IdAdoptant;Nom;Prenom;Telephone;Courriel
1;Tremblay;Julie;418-555-1234;julie.tremblay@gmail.com
2;Gagnon;Marc;418-555-5678;marc.gagnon@hotmail.com
3;Roy;Sophie;418-555-1122;sophie.roy@yahoo.ca
4;Côté;Jean;418-555-3344;jean.cote@videotron.ca
5;Bouchard;Amélie;418-555-5566;amelie.bouchard@outlook.com
6;Morin;Patrick;418-555-7788;patrick.morin@gmail.com
7;Lavoie;Isabelle;418-555-9900;isabelle.lavoie@hotmail.com
8;Fortin;David;418-555-2233;david.fortin@yahoo.ca
9;Gauthier;Émilie;418-555-4455;emilie.gauthier@videotron.ca
10;Poirier;Mathieu;418-555-6677;mathieu.poirier@outlook.com
11;Pelletier;Caroline;418-555-8899;caroline.pelletier@gmail.com
12;Bélanger;François;418-555-1010;francois.belanger@hotmail.com
13;Bergeron;Catherine;418-555-2020;catherine.bergeron@yahoo.ca
14;Lefebvre;Nicolas;418-555-3030;nicolas.lefebvre@videotron.ca
15;Martel;Valérie;418-555-4040;valerie.martel@outlook.com
16;Girard;Alexandre;418-555-5050;alexandre.girard@gmail.com
17;Simard;Marie;418-555-6060;marie.simard@hotmail.com
18;Ouellet;Pascal;418-555-7070;pascal.ouellet@yahoo.ca
19;Dufour;Chantal;418-555-8080;chantal.dufour@videotron.ca
20;Rousseau;Philippe;418-555-9090;philippe.rousseau@outlook.com
